rn,mis_link,silence,code_dev,file,mail_dev,thread,commit,churn,mis_link2,silence2,code_dev2,file2,mail_dev2,thread2,commit2,churn2
mis_link,1,0.263856150347478,0.661669572733653,0.259858299363519,0.550208786180997,0.54377646380565,0.18180656064148,0.272339873750481,0.662986114361068,0.102256552913945,0.460054976051477,0.137057506790151,0.448638268883892,0.509981177871395,0.137459430082965,0.124197477128941
silence,0.263856150347478,1,-0.0364261233066304,-0.319868149193043,0.654969644991446,0.566138798234731,-0.228887149574239,-0.31393791886485,0.235912881482316,0.436136937184251,-0.0284509865953434,-0.214314099061177,0.412940341987674,0.404453132171936,-0.151871202069565,-0.165569895095308
code_dev,0.661669572733653,-0.0364261233066304,1,0.460171865045663,0.263789237728864,0.247501861444111,0.390792966366204,0.468546421118846,0.482988799281758,-0.118091716429592,0.567927348657788,0.372734679727646,0.188777903215772,0.229658774271694,0.372786078337019,0.3062676568127
file,0.259858299363519,-0.319868149193043,0.460171865045663,1,0.0621297119044016,0.114709331835465,0.799966757404994,0.807802877128885,0.0850853522076238,-0.244844285724125,0.216451508443422,0.388432118653142,0.0466784899015978,0.0762644090149224,0.393749028019077,0.290645717778529
mail_dev,0.550208786180997,0.654969644991446,0.263789237728864,0.0621297119044016,1,0.913272496553051,0.126540975549006,-0.0199144120458681,0.440700234294682,0.387363636019696,0.273448926724777,0.0553662151661349,0.603802925085232,0.636269668439098,0.0238311050234141,-0.0567744789746542
thread,0.54377646380565,0.566138798234731,0.247501861444111,0.114709331835465,0.913272496553051,1,0.183507241413831,-0.040924928127954,0.402135161661549,0.356765099211062,0.216893628291371,0.109401071230263,0.558428412249656,0.640490147186982,0.0785251692871183,-0.0419201034664994
commit,0.18180656064148,-0.228887149574239,0.390792966366204,0.799966757404994,0.126540975549006,0.183507241413831,1,0.743465248401906,0.100479130630338,-0.139133287646407,0.185192260097787,0.370491296900399,0.121653981375973,0.126918731314282,0.476853709456537,0.325745871672115
churn,0.272339873750481,-0.31393791886485,0.468546421118846,0.807802877128885,-0.0199144120458681,-0.040924928127954,0.743465248401906,1,0.157711349581504,-0.170473105107461,0.297604963088683,0.371881715764415,0.0289165542715881,-0.00173408073523294,0.384317268665866,0.445975577240149
mis_link2,0.662986114361068,0.235912881482316,0.482988799281758,0.0850853522076238,0.440700234294682,0.402135161661549,0.100479130630338,0.157711349581504,1,0.214296133565691,0.690238003532753,0.337330596549839,0.525986395101687,0.524641554324458,0.247997023626322,0.37170113118475
silence2,0.102256552913945,0.436136937184251,-0.118091716429592,-0.244844285724125,0.387363636019696,0.356765099211062,-0.139133287646407,-0.170473105107461,0.214296133565691,1,-0.0379863954393723,-0.296803219307044,0.634429455182794,0.536026005493597,-0.208045907425312,-0.281544637275686
code_dev2,0.460054976051477,-0.0284509865953434,0.567927348657788,0.216451508443422,0.273448926724777,0.216893628291371,0.185192260097787,0.297604963088683,0.690238003532753,-0.0379863954393723,1,0.481143891946677,0.28572481487609,0.275895501238656,0.413219566413756,0.498611735810959
file2,0.137057506790151,-0.214314099061177,0.372734679727646,0.388432118653142,0.0553662151661349,0.109401071230263,0.370491296900399,0.371881715764415,0.337330596549839,-0.296803219307044,0.481143891946677,1,0.117752754883037,0.176139680624078,0.795791482677682,0.806053083429639
mail_dev2,0.448638268883892,0.412940341987674,0.188777903215772,0.0466784899015978,0.603802925085232,0.558428412249656,0.121653981375973,0.0289165542715881,0.525986395101687,0.634429455182794,0.28572481487609,0.117752754883037,1,0.907786877276802,0.180864177969684,0.0525214772594973
thread2,0.509981177871395,0.404453132171936,0.229658774271694,0.0762644090149224,0.636269668439098,0.640490147186982,0.126918731314282,-0.00173408073523294,0.524641554324458,0.536026005493597,0.275895501238656,0.176139680624078,0.907786877276802,1,0.243525298105544,0.0393863988080588
commit2,0.137459430082965,-0.151871202069565,0.372786078337019,0.393749028019077,0.0238311050234141,0.0785251692871183,0.476853709456537,0.384317268665866,0.247997023626322,-0.208045907425312,0.413219566413756,0.795791482677682,0.180864177969684,0.243525298105544,1,0.746459037708475
churn2,0.124197477128941,-0.165569895095308,0.3062676568127,0.290645717778529,-0.0567744789746542,-0.0419201034664994,0.325745871672115,0.445975577240149,0.37170113118475,-0.281544637275686,0.498611735810959,0.806053083429639,0.0525214772594973,0.0393863988080588,0.746459037708475,1
