node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability,no_edge
mail_dev,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
commit,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
code_dev,file,TAIL,ARROW,FALSE,FALSE,pd;pl,0.998336106489185,0.00166389351081531
file,churn,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
mis_link,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,0.981697171381032,0.0183028286189684
mail_dev2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.747088186356073,0.252911813643927
mail_dev2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.775374376039934,0.224625623960067
mail_dev2,thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
mail_dev,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.970049916805324,0.0299500831946755
mail_dev,thread,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
mail_dev,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.450915141430948,0.549084858569052
thread2,code_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.552412645590682,0.447587354409318
thread2,commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
thread,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.613976705490849,0.386023294509151
thread2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.951747088186356,0.0482529118136439
thread,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.991680532445923,0.00831946755407653
thread,mis_link,TAIL,ARROW,FALSE,FALSE,pd;nl,0.998336106489185,0.00166389351081531
thread,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.53910149750416,0.46089850249584
thread,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
thread,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.589018302828619,0.410981697171381
thread,file,TAIL,ARROW,FALSE,FALSE,dd;nl,0.292845257903494,0.707154742096506
start,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.993344425956739,0.00665557404326123
mis_link2,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.455906821963394,0.544093178036606
mis_link2,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.908485856905158,0.0915141430948418
mis_link2,mail_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.810316139767055,0.189683860232945
mis_link2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.903494176372712,0.0965058236272879
mis_link2,churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
mis_link2,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
mis_link,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
mis_link,start,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
mis_link,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
mis_link,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.881863560732113,0.118136439267887
mis_link,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.342762063227953,0.657237936772047
mis_link,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.993344425956739,0.00665557404326123
mis_link,file,TAIL,ARROW,FALSE,FALSE,dd;nl,0.682196339434276,0.317803660565724
mis_link,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.342762063227953,0.657237936772047
mis_link,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.860232945091514,0.139767054908486
silence,churn2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.810316139767055,0.189683860232945
silence,commit,TAIL,ARROW,FALSE,FALSE,pd;pl,0.722129783693844,0.277870216306156
silence,commit2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.850249584026622,0.149750415973378
silence,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;pl,1,0
silence,file,TAIL,ARROW,FALSE,FALSE,pd;pl,1,0
silence,file2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.973377703826955,0.0266222961730449
silence,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;pl,1,0
silence,silence2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.981697171381032,0.0183028286189684
silence,thread,TAIL,ARROW,FALSE,FALSE,pd;pl,0.750415973377704,0.249584026622296
silence2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.980033277870216,0.0199667221297837
silence2,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
silence2,thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.46089850249584,0.53910149750416
start,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.324459234608985,0.675540765391015
start,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.933444259567388,0.0665557404326124
start,file2,TAIL,ARROW,FALSE,FALSE,dd;nl,1,0
thread,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,1,0
thread,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.429284525790349,0.570715474209651
