node1_name,node2_name,edge_type,properties,probability
mail_dev,code_dev2,ta,pd;nl,1
commit,churn,ta,pd;nl,0.965058236272879
commit,churn,at,pd;pl,0.0232945091514143
commit,churn,tt,,0.0116472545757072
code_dev,file,ta,pd;pl,0.860232945091514
code_dev,file,tt,,0.116472545757072
code_dev,file,at,dd;pl,0.021630615640599
code_dev,file,nil,,0.00166389351081531
file,churn,ta,dd;nl,0.965058236272879
file,churn,at,pd;pl,0.0232945091514143
file,churn,tt,,0.0116472545757072
mis_link,churn,ta,pd;nl,0.816971713810316
mis_link,churn,at,dd;nl,0.164725457570715
mis_link,churn,nil,,0.0183028286189684
mail_dev2,churn2,ta,pd;nl,0.392678868552413
mail_dev2,churn2,at,pd;nl,0.354409317803661
mail_dev2,churn2,nil,,0.252911813643927
mail_dev2,commit2,ta,pd;nl,0.475873544093178
mail_dev2,commit2,at,dd;nl,0.299500831946755
mail_dev2,commit2,nil,,0.224625623960067
mail_dev2,thread2,ta,dd;nl,0.582362728785358
mail_dev2,thread2,at,pd;nl,0.417637271214642
mail_dev,thread2,ta,pd;nl,0.970049916805324
mail_dev,thread2,nil,,0.0299500831946755
mail_dev,thread,ta,dd;nl,0.738768718801997
mail_dev,thread,at,dd;nl,0.164725457570715
mail_dev,thread,tt,,0.0965058236272879
mail_dev,silence2,nil,,0.549084858569052
mail_dev,silence2,ta,pd;nl,0.450915141430948
thread2,code_dev2,nil,,0.447587354409318
thread2,code_dev2,at,dd;nl,0.289517470881864
thread2,code_dev2,ta,dd;nl,0.262895174708819
thread2,commit2,ta,dd;nl,0.875207986688852
thread2,commit2,at,pd;nl,0.124792013311148
thread,thread2,ta,pd;nl,0.613976705490849
thread,thread2,nil,,0.386023294509151
thread2,churn2,ta,pd;nl,0.53910149750416
thread2,churn2,at,pd;nl,0.412645590682196
thread2,churn2,nil,,0.0482529118136439
thread,silence2,ta,pd;nl,0.991680532445923
thread,silence2,nil,,0.00831946755407654
thread,start,nil,,0.97171381031614
thread,start,ta,pd;pl,0.0232945091514143
thread,start,tt,,0.00332778702163062
thread,start,at,pd;pl,0.00166389351081531
thread,mis_link,ta,pd;nl,0.700499168053245
thread,mis_link,at,dd;nl,0.256239600665557
thread,mis_link,tt,,0.0415973377703827
thread,mis_link,nil,,0.00166389351081531
thread,mis_link2,ta,pd;nl,0.53910149750416
thread,mis_link2,nil,,0.46089850249584
thread,file2,ta,pd;nl,1
thread,mail_dev2,ta,pd;nl,0.589018302828619
thread,mail_dev2,nil,,0.410981697171381
thread,file,nil,,0.707154742096506
thread,file,at,dd;nl,0.206322795341098
thread,file,ta,pd;pl,0.086522462562396
start,mail_dev,nil,,0.965058236272879
start,mail_dev,at,dd;nl,0.0183028286189684
start,mail_dev,ta,pd;pl,0.0149750415973378
start,mail_dev,tt,,0.00166389351081531
start,silence2,nil,,0.888519134775374
start,silence2,ta,pd;nl,0.111480865224626
start,mail_dev2,nil,,0.923460898502496
start,mail_dev2,ta,pd;nl,0.0765391014975042
start,mis_link2,ta,pd;nl,0.993344425956739
start,mis_link2,nil,,0.00665557404326123
start,thread2,nil,,0.788685524126456
start,thread2,ta,pd;nl,0.211314475873544
mis_link2,thread2,nil,,0.544093178036606
mis_link2,thread2,at,pd;nl,0.312811980033278
mis_link2,thread2,ta,dd;nl,0.143094841930116
mis_link2,silence2,ta,pd;nl,0.495840266222962
mis_link2,silence2,at,dd;nl,0.412645590682196
mis_link2,silence2,nil,,0.0915141430948419
mis_link2,mail_dev2,ta,dd;nl,0.700499168053245
mis_link2,mail_dev2,nil,,0.189683860232945
mis_link2,mail_dev2,at,dd;nl,0.10981697171381
mis_link2,commit2,ta,pd;nl,0.853577371048253
mis_link2,commit2,nil,,0.0965058236272879
mis_link2,commit2,at,pd;nl,0.0499168053244592
mis_link2,churn2,ta,dd;nl,0.86522462562396
mis_link2,churn2,at,dd;nl,0.13477537437604
mis_link2,code_dev2,ta,pd;nl,0.841930116472546
mis_link2,code_dev2,at,pd;nl,0.158069883527454
mis_link,thread2,ta,pd;nl,1
mis_link,start,ta,pd;nl,0.933444259567388
mis_link,start,tt,,0.0465890183028286
mis_link,start,at,pd;nl,0.0199667221297837
mis_link,mis_link2,ta,pd;nl,1
mis_link,silence2,ta,pd;nl,0.881863560732113
mis_link,silence2,nil,,0.118136439267887
mis_link,mail_dev2,nil,,0.657237936772047
mis_link,mail_dev2,ta,pd;nl,0.342762063227953
mis_link,file2,ta,pd;nl,0.993344425956739
mis_link,file2,nil,,0.00665557404326123
mis_link,commit2,nil,,0.72712146422629
mis_link,commit2,ta,pd;nl,0.27287853577371
mis_link,file,ta,dd;nl,0.527454242928453
mis_link,file,nil,,0.317803660565724
mis_link,file,at,pd;nl,0.113144758735441
mis_link,file,tt,,0.0415973377703827
mis_link,churn2,nil,,0.657237936772047
mis_link,churn2,ta,pd;nl,0.342762063227953
mis_link,code_dev2,ta,pd;nl,0.860232945091514
mis_link,code_dev2,nil,,0.139767054908486
silence,churn2,ta,pd;pl,0.810316139767055
silence,churn2,nil,,0.189683860232945
silence,commit,ta,pd;pl,0.585690515806988
silence,commit,nil,,0.277870216306156
silence,commit,at,dd;nl,0.111480865224626
silence,commit,tt,,0.0249584026622296
silence,commit2,ta,pd;pl,0.850249584026622
silence,commit2,nil,,0.149750415973378
silence,code_dev2,ta,pd;pl,1
silence,file,ta,pd;pl,0.831946755407654
silence,file,at,pd;pl,0.158069883527454
silence,file,tt,,0.00998336106489185
silence,file2,ta,pd;pl,0.973377703826955
silence,file2,nil,,0.0266222961730449
silence,mail_dev,ta,dd;pl,0.765391014975042
silence,mail_dev,at,pd;pl,0.198003327787022
silence,mail_dev,tt,,0.0366056572379368
silence,mail_dev2,nil,,0.861896838602329
silence,mail_dev2,ta,pd;pl,0.138103161397671
silence,mis_link,nil,,0.841930116472546
silence,mis_link,ta,dd;pl,0.153078202995008
silence,mis_link,tt,,0.00499168053244592
silence,mis_link2,nil,,0.846921797004992
silence,mis_link2,ta,pd;pl,0.153078202995008
silence,silence2,ta,pd;pl,0.981697171381032
silence,silence2,nil,,0.0183028286189684
silence,start,nil,,0.91846921797005
silence,start,ta,pd;pl,0.0665557404326123
silence,start,at,pd;nl,0.00998336106489185
silence,start,tt,,0.00499168053244592
silence,thread,ta,pd;pl,0.655574043261231
silence,thread,nil,,0.249584026622296
silence,thread,at,pd;pl,0.064891846921797
silence,thread,tt,,0.0299500831946755
silence,thread2,nil,,0.881863560732113
silence,thread2,ta,pd;pl,0.118136439267887
silence2,churn2,ta,pd;nl,0.610648918469218
silence2,churn2,at,pd;nl,0.369384359400998
silence2,churn2,nil,,0.0199667221297837
silence2,mail_dev2,ta,pd;nl,0.589018302828619
silence2,mail_dev2,at,dd;nl,0.410981697171381
silence2,thread2,nil,,0.53910149750416
silence2,thread2,ta,dd;nl,0.43261231281198
silence2,thread2,at,pd;nl,0.0282861896838602
start,churn2,nil,,0.675540765391015
start,churn2,ta,pd;nl,0.324459234608985
start,code_dev2,nil,,0.871880199667221
start,code_dev2,ta,dd;nl,0.128119800332779
start,commit2,ta,pd;nl,0.933444259567388
start,commit2,nil,,0.0665557404326123
start,file2,ta,dd;nl,1
thread,churn,ta,pd;nl,0.961730449251248
thread,churn,at,pd;pl,0.0382695507487521
thread,churn2,nil,,0.570715474209651
thread,churn2,ta,pd;nl,0.429284525790349
thread,code_dev2,ta,pd;nl,0.831946755407654
thread,code_dev2,nil,,0.168053244592346
thread,commit,ta,dd;nl,0.773710482529118
thread,commit,at,dd;nl,0.21630615640599
thread,commit,tt,,0.00998336106489185
thread,commit2,ta,pd;nl,0.861896838602329
thread,commit2,nil,,0.138103161397671
mail_dev,churn2,ta,pd;nl,0.990016638935108
mail_dev,churn2,nil,,0.00998336106489185
mail_dev,churn,ta,pd;nl,0.958402662229617
mail_dev,churn,nil,,0.0232945091514143
mail_dev,churn,at,pd;pl,0.0183028286189684
file2,silence2,ta,dd;nl,0.565723793677205
file2,silence2,at,pd;nl,0.429284525790349
file2,silence2,nil,,0.00499168053244592
file2,thread2,ta,pd;nl,0.762063227953411
file2,thread2,nil,,0.131447587354409
file2,thread2,at,dd;nl,0.10648918469218
file2,mis_link2,ta,pd;nl,0.500831946755408
file2,mis_link2,at,pd;nl,0.497504159733777
file2,mis_link2,nil,,0.00166389351081531
file2,mail_dev2,nil,,0.627287853577371
file2,mail_dev2,ta,pd;nl,0.198003327787022
file2,mail_dev2,at,pd;nl,0.174708818635607
file2,churn2,ta,pd;nl,0.780366056572379
file2,churn2,at,dd;nl,0.219633943427621
file2,commit2,ta,pd;nl,0.75873544093178
file2,commit2,at,dd;nl,0.24126455906822
file,start,ta,dd;nl,0.905158069883527
file,start,at,dd;nl,0.0565723793677205
file,start,tt,,0.0382695507487521
file,thread2,ta,pd;nl,0.574043261231281
file,thread2,nil,,0.425956738768719
file,silence2,ta,pd;nl,1
file,mail_dev2,nil,,0.718801996672213
file,mail_dev2,ta,pd;nl,0.281198003327787
file,mis_link2,ta,pd;nl,0.861896838602329
file,mis_link2,nil,,0.138103161397671
file,file2,nil,,0.728785357737105
file,file2,ta,pd;nl,0.271214642262895
file,mail_dev,nil,,0.880199667221298
file,mail_dev,at,pd;pl,0.0615640599001664
file,mail_dev,tt,,0.0382695507487521
file,mail_dev,ta,pd;pl,0.0199667221297837
file,commit2,nil,,0.550748752079867
file,commit2,ta,pd;nl,0.449251247920133
file,churn2,ta,pd;nl,1
file,code_dev2,nil,,0.885191347753744
file,code_dev2,ta,pd;nl,0.114808652246256
mail_dev,commit2,ta,pd;nl,0.993344425956739
mail_dev,commit2,nil,,0.00665557404326123
mail_dev,commit,nil,,0.833610648918469
mail_dev,commit,ta,pd;pl,0.0965058236272879
mail_dev,commit,at,dd;nl,0.0682196339434276
mail_dev,commit,tt,,0.00166389351081531
mail_dev,mis_link,ta,pd;nl,0.667221297836938
mail_dev,mis_link,at,pd;nl,0.211314475873544
mail_dev,mis_link,nil,,0.0632279534109817
mail_dev,mis_link,tt,,0.0582362728785358
mail_dev,mail_dev2,ta,pd;nl,1
mail_dev,file2,nil,,0.785357737104825
mail_dev,file2,ta,pd;nl,0.214642262895175
mail_dev,mis_link2,ta,pd;nl,0.763727121464226
mail_dev,mis_link2,nil,,0.236272878535774
code_dev,file2,ta,pd;pl,0.86522462562396
code_dev,file2,nil,,0.13477537437604
code_dev,mail_dev2,ta,pd;pl,0.697171381031614
code_dev,mail_dev2,nil,,0.302828618968386
code_dev,mail_dev,ta,dd;pl,0.748752079866889
code_dev,mail_dev,nil,,0.118136439267887
code_dev,mail_dev,tt,,0.101497504159734
code_dev,mail_dev,at,dd;pl,0.0316139767054908
code_dev,mis_link,ta,pd;pl,0.906821963394343
code_dev,mis_link,tt,,0.0732113144758736
code_dev,mis_link,at,pd;pl,0.0199667221297837
code_dev,mis_link2,ta,pd;pl,0.579034941763727
code_dev,mis_link2,nil,,0.420965058236273
code_dev,silence,nil,,0.767054908485857
code_dev,silence,ta,pd;pl,0.183028286189684
code_dev,silence,tt,,0.0382695507487521
code_dev,silence,at,dd;nl,0.0116472545757072
code_dev,silence2,nil,,0.780366056572379
code_dev,silence2,ta,pd;pl,0.219633943427621
code_dev,start,ta,pd;pl,0.56738768718802
code_dev,start,nil,,0.420965058236273
code_dev,start,at,dd;pl,0.00831946755407654
code_dev,start,tt,,0.00332778702163062
code_dev,thread,nil,,0.680532445923461
code_dev,thread,ta,pd;pl,0.229617304492512
code_dev,thread,tt,,0.0698835274542429
code_dev,thread,at,pd;pl,0.0199667221297837
code_dev,thread2,nil,,0.500831946755408
code_dev,thread2,ta,pd;pl,0.499168053244592
code_dev2,commit2,ta,pd;nl,0.67720465890183
code_dev2,commit2,at,pd;nl,0.287853577371048
code_dev2,commit2,nil,,0.0349417637271215
commit,churn2,nil,,0.599001663893511
commit,churn2,ta,pd;nl,0.400998336106489
commit,code_dev2,ta,pd;nl,0.998336106489185
commit,code_dev2,nil,,0.00166389351081531
commit,commit2,ta,pd;nl,1
commit,file,ta,pd;nl,0.549084858569052
commit,file,at,dd;nl,0.425956738768719
commit,file,tt,,0.0249584026622296
commit,file2,nil,,0.67720465890183
commit,file2,ta,pd;nl,0.32279534109817
commit,mail_dev2,ta,pd;nl,0.968386023294509
commit,mail_dev2,nil,,0.0316139767054908
commit,mis_link,ta,dd;nl,0.763727121464226
commit,mis_link,at,pd;pl,0.21630615640599
commit,mis_link,nil,,0.0166389351081531
commit,mis_link,tt,,0.00332778702163062
commit,mis_link2,nil,,0.933444259567388
commit,mis_link2,ta,pd;nl,0.0665557404326123
commit,silence2,nil,,0.627287853577371
commit,silence2,ta,pd;nl,0.372712146422629
commit,start,ta,pd;nl,0.813643926788686
commit,start,at,dd;nl,0.126455906821963
commit,start,nil,,0.0565723793677205
commit,start,tt,,0.00332778702163062
commit2,churn2,ta,pd;nl,0.504159733777038
commit2,churn2,at,pd;nl,0.495840266222962
commit2,silence2,nil,,0.78369384359401
commit2,silence2,at,pd;nl,0.10981697171381
commit2,silence2,ta,pd;nl,0.10648918469218
commit,thread2,nil,,0.637271214642263
commit,thread2,ta,pd;nl,0.362728785357737
code_dev2,mail_dev2,nil,,0.615640599001664
code_dev2,mail_dev2,ta,dd;nl,0.29450915141431
code_dev2,mail_dev2,at,dd;nl,0.0898502495840266
code_dev2,silence2,nil,,0.520798668885191
code_dev2,silence2,at,dd;nl,0.271214642262895
code_dev2,silence2,ta,pd;nl,0.207986688851913
code_dev2,file2,nil,,0.873544093178037
code_dev2,file2,ta,dd;nl,0.0981697171381032
code_dev2,file2,at,pd;nl,0.0282861896838602
code_dev,commit2,ta,pd;pl,1
churn,silence2,ta,pd;nl,1
churn,mis_link2,ta,dd;nl,0.502495840266223
churn,mis_link2,nil,,0.497504159733777
churn,file2,ta,dd;nl,0.935108153078203
churn,file2,nil,,0.064891846921797
churn,commit2,ta,pd;nl,0.780366056572379
churn,commit2,nil,,0.219633943427621
churn,churn2,ta,pd;nl,1
churn,code_dev2,nil,,0.530782029950083
churn,code_dev2,ta,pd;nl,0.469217970049917
churn,mail_dev2,nil,,0.703826955074875
churn,mail_dev2,ta,pd;nl,0.296173044925125
churn,thread2,ta,pd;nl,0.970049916805324
churn,thread2,nil,,0.0299500831946755
churn2,code_dev2,ta,dd;nl,0.635607321131448
churn2,code_dev2,at,pd;nl,0.359400998336107
churn2,code_dev2,nil,,0.00499168053244592
code_dev,churn,nil,,0.790349417637271
code_dev,churn,at,pd;pl,0.174708818635607
code_dev,churn,ta,dd;pl,0.0232945091514143
code_dev,churn,tt,,0.0116472545757072
code_dev,churn2,ta,pd;pl,0.945091514143095
code_dev,churn2,nil,,0.0549084858569052
code_dev,code_dev2,ta,pd;pl,1
code_dev,commit,ta,pd;pl,0.6738768718802
code_dev,commit,nil,,0.291181364392679
code_dev,commit,tt,,0.0232945091514143
code_dev,commit,at,pd;pl,0.0116472545757072
