node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability
mail_dev,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
commit,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,1
code_dev,file,TAIL,ARROW,FALSE,FALSE,pd;pl,0.998336106489185
file,churn,TAIL,ARROW,FALSE,FALSE,dd;nl,1
mis_link,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,0.981697171381032
mail_dev2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.747088186356073
mail_dev2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.775374376039934
mail_dev2,thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,1
mail_dev,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.970049916805324
mail_dev,thread,TAIL,ARROW,FALSE,FALSE,dd;nl,1
mail_dev,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.450915141430948
thread2,code_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.552412645590682
thread2,commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,1
thread,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.613976705490849
thread2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.951747088186356
thread,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.991680532445923
thread,start,TAIL,ARROW,FALSE,FALSE,pd;pl,0.0282861896838602
thread,mis_link,TAIL,ARROW,FALSE,FALSE,pd;nl,0.998336106489185
thread,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.53910149750416
thread,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
thread,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.589018302828619
thread,file,TAIL,ARROW,FALSE,FALSE,dd;nl,0.292845257903494
start,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0349417637271215
start,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.111480865224626
start,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.0765391014975042
start,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.993344425956739
start,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.211314475873544
mis_link2,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.455906821963394
mis_link2,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.908485856905158
mis_link2,mail_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.810316139767055
mis_link2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.903494176372712
mis_link2,churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,1
mis_link2,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
mis_link,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
mis_link,start,TAIL,ARROW,FALSE,FALSE,pd;nl,1
mis_link,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
mis_link,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.881863560732113
mis_link,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.342762063227953
mis_link,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.993344425956739
mis_link,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.27287853577371
mis_link,file,TAIL,ARROW,FALSE,FALSE,dd;nl,0.682196339434276
mis_link,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.342762063227953
mis_link,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.860232945091514
silence,churn2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.810316139767055
silence,commit,TAIL,ARROW,FALSE,FALSE,pd;pl,0.722129783693844
silence,commit2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.850249584026622
silence,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;pl,1
silence,file,TAIL,ARROW,FALSE,FALSE,pd;pl,1
silence,file2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.973377703826955
silence,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;pl,1
silence,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.138103161397671
silence,mis_link,TAIL,ARROW,FALSE,FALSE,dd;pl,0.158069883527454
silence,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.153078202995008
silence,silence2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.981697171381032
silence,start,TAIL,ARROW,FALSE,FALSE,pd;pl,0.0815307820299501
silence,thread,TAIL,ARROW,FALSE,FALSE,pd;pl,0.750415973377704
silence,thread2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.118136439267887
silence2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.980033277870216
silence2,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
silence2,thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.46089850249584
start,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.324459234608985
start,code_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.128119800332779
start,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.933444259567388
start,file2,TAIL,ARROW,FALSE,FALSE,dd;nl,1
thread,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,1
thread,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.429284525790349
thread,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.831946755407654
thread,commit,TAIL,ARROW,FALSE,FALSE,dd;nl,1
thread,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.861896838602329
mail_dev,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.990016638935108
mail_dev,churn,TAIL,ARROW,FALSE,FALSE,pd;nl,0.976705490848586
file2,silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.995008319467554
file2,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.868552412645591
file2,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.998336106489185
file2,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.372712146422629
file2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
file2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
file,start,TAIL,ARROW,FALSE,FALSE,dd;nl,1
file,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.574043261231281
file,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
file,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.281198003327787
file,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.861896838602329
file,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.271214642262895
file,mail_dev,TAIL,ARROW,FALSE,FALSE,pd;pl,0.119800332778702
file,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.449251247920133
file,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
file,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.114808652246256
mail_dev,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.993344425956739
mail_dev,commit,TAIL,ARROW,FALSE,FALSE,pd;pl,0.166389351081531
mail_dev,mis_link,TAIL,ARROW,FALSE,FALSE,pd;nl,0.936772046589018
mail_dev,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
mail_dev,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.214642262895175
mail_dev,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.763727121464226
code_dev,file2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.86522462562396
code_dev,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.697171381031614
code_dev,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;pl,0.881863560732113
code_dev,mis_link,TAIL,ARROW,FALSE,FALSE,pd;pl,1
code_dev,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.579034941763727
code_dev,silence,TAIL,ARROW,FALSE,FALSE,pd;pl,0.232945091514143
code_dev,silence2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.219633943427621
code_dev,start,TAIL,ARROW,FALSE,FALSE,pd;pl,0.579034941763727
code_dev,thread,TAIL,ARROW,FALSE,FALSE,pd;pl,0.319467554076539
code_dev,thread2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.499168053244592
code_dev2,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.965058236272879
commit,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.400998336106489
commit,code_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.998336106489185
commit,commit2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
commit,file,TAIL,ARROW,FALSE,FALSE,pd;nl,1
commit,file2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.32279534109817
commit,mail_dev2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.968386023294509
commit,mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.983361064891847
commit,mis_link2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.0665557404326123
commit,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.372712146422629
commit,start,TAIL,ARROW,FALSE,FALSE,pd;nl,0.94342762063228
commit2,churn2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
commit2,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.21630615640599
commit,thread2,TAIL,ARROW,FALSE,FALSE,pd;nl,0.362728785357737
code_dev2,mail_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.384359400998336
code_dev2,silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.479201331114809
code_dev2,file2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.126455906821963
code_dev,commit2,TAIL,ARROW,FALSE,FALSE,pd;pl,1
churn,silence2,TAIL,ARROW,FALSE,FALSE,pd;nl,1
churn,mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.502495840266223
