node1_name,node2_name,edge_type,properties,probability
nv-churn2,nv-code_dev,nil,,0.998003992015968
nv-churn2,nv-code_dev,tt,,0.00199600798403194
nv-mis_link2,b_150290,nil,,0.998003992015968
nv-mis_link2,b_150290,tt,,0.00199600798403194
churn,nv-b_100433,nil,,0.988023952095808
churn,nv-b_100433,ta,dd;nl,0.0119760479041916
b_191549,nv-code_dev,nil,,0.998003992015968
b_191549,nv-code_dev,ta,dd;nl,0.00199600798403194
b_180737,nv-churn2,nil,,0.986027944111776
b_180737,nv-churn2,ta,dd;nl,0.00798403193612774
b_180737,nv-churn2,tt,,0.00598802395209581
b_180735,mail_dev,nil,,0.998003992015968
b_180735,mail_dev,ta,dd;nl,0.00199600798403194
b_150291,nv-b_100740,nil,,0.820359281437126
b_150291,nv-b_100740,ta,dd;pl,0.171656686626747
b_150291,nv-b_100740,tt,,0.00798403193612774
b_180735,nv-mis_link2,nil,,0.986027944111776
b_180735,nv-mis_link2,ta,dd;nl,0.00598802395209581
b_180735,nv-mis_link2,tt,,0.00399201596806387
b_180735,nv-mis_link2,at,dd;pl,0.00399201596806387
mis_link,b_180735,nil,,0.958083832335329
mis_link,b_180735,at,dd;nl,0.0259481037924152
mis_link,b_180735,ta,dd;pl,0.0119760479041916
mis_link,b_180735,tt,,0.00399201596806387
b_191549,nv-b_103864,nil,,0.880239520958084
b_191549,nv-b_103864,ta,dd;nl,0.0978043912175649
b_191549,nv-b_103864,at,dd;pl,0.0219560878243513
b_191549,nv-b_102939,nil,,0.872255489021956
b_191549,nv-b_102939,at,dd;nl,0.117764471057884
b_191549,nv-b_102939,ta,dd;nl,0.00798403193612774
b_191549,nv-b_102939,tt,,0.00199600798403194
b_191549,nv-silence2,nil,,0.996007984031936
b_191549,nv-silence2,ta,dd;nl,0.00399201596806387
b_201967,mail_dev2,nil,,0.998003992015968
b_201967,mail_dev2,ta,dd;nl,0.00199600798403194
b_201967,nv-b_100740,nil,,0.980039920159681
b_201967,nv-b_100740,ta,dd;pl,0.0159680638722555
b_201967,nv-b_100740,tt,,0.00199600798403194
b_201967,nv-b_100740,at,dd;pl,0.00199600798403194
b_201967,nv-b_103864,nil,,0.878243512974052
b_201967,nv-b_103864,ta,dd;pl,0.11377245508982
b_201967,nv-b_103864,tt,,0.00399201596806387
b_201967,nv-b_103864,at,dd;pl,0.00399201596806387
b_62937,nv-b_100740,nil,,0.784431137724551
b_62937,nv-b_100740,ta,dd;pl,0.199600798403194
b_62937,nv-b_100740,tt,,0.00798403193612774
b_62937,nv-b_100740,at,dd;pl,0.00798403193612774
b_62937,nv-b_102939,nil,,0.756487025948104
b_62937,nv-b_102939,ta,dd;pl,0.227544910179641
b_62937,nv-b_102939,tt,,0.00798403193612774
b_62937,nv-b_102939,at,dd;nl,0.00798403193612774
b_62937,start,nil,,0.966067864271457
b_62937,start,ta,dd;pl,0.031936127744511
b_62937,start,at,dd;nl,0.00199600798403194
b_62940,code_dev,nil,,0.998003992015968
b_62940,code_dev,ta,pd;pl,0.00199600798403194
b_62940,nv-b_103864,nil,,0.768463073852295
b_62940,nv-b_103864,ta,dd;pl,0.191616766467066
b_62940,nv-b_103864,at,dd;nl,0.0259481037924152
b_62940,nv-b_103864,tt,,0.0139720558882236
b_62940,nv-thread2,nil,,0.998003992015968
b_62940,nv-thread2,ta,dd;nl,0.00199600798403194
b_62940,start,ta,dd;pl,0.43313373253493
b_62940,start,at,dd;nl,0.397205588822355
b_62940,start,nil,,0.167664670658683
b_62940,start,tt,,0.00199600798403194
b_63738,nv-b_100742,nil,,0.63872255489022
b_63738,nv-b_100742,ta,dd;pl,0.333333333333333
b_63738,nv-b_100742,at,dd;pl,0.0199600798403194
b_63738,nv-b_100742,tt,,0.00798403193612774
