node1_name,node2_name,endpoint1,endpoint2,bold,highlighted,properties,probability
nv-churn2,nv-code_dev,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link2,b_150290,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
churn,nv-b_100433,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0119760479041916
b_191549,nv-code_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
b_180737,nv-churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0139720558882236
b_150291,nv-b_100740,TAIL,ARROW,FALSE,FALSE,dd;pl,0.179640718562874
b_180735,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0139720558882236
b_191549,nv-b_103864,TAIL,ARROW,FALSE,FALSE,dd;nl,0.119760479041916
b_191549,nv-b_102939,TAIL,ARROW,FALSE,FALSE,dd;nl,0.127744510978044
b_191549,nv-silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
b_201967,nv-b_100740,TAIL,ARROW,FALSE,FALSE,dd;pl,0.0199600798403194
b_201967,nv-b_103864,TAIL,ARROW,FALSE,FALSE,dd;pl,0.121756487025948
b_62937,nv-b_100740,TAIL,ARROW,FALSE,FALSE,dd;pl,0.215568862275449
b_62937,nv-b_102939,TAIL,ARROW,FALSE,FALSE,dd;pl,0.243512974051896
b_62940,nv-b_103864,TAIL,ARROW,FALSE,FALSE,dd;pl,0.231536926147705
b_62940,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
b_63738,nv-b_100742,TAIL,ARROW,FALSE,FALSE,dd;pl,0.36127744510978
b_63738,nv-b_104180,TAIL,ARROW,FALSE,FALSE,dd;pl,0.165668662674651
b_63738,nv-commit,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00598802395209581
b_63738,nv-file,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
b_81672,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00399201596806387
b_93245,nv-silence,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
churn,nv-b_103864,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0119760479041916
churn,nv-b_104180,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
churn,nv-churn,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
churn,nv-code_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
churn,nv-start,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0419161676646707
churn,nv-thread,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
churn,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
churn2,nv-code_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
churn2,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0199600798403194
churn2,nv-mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
churn2,nv-mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
churn2,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
churn2,nv-silence,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00998003992015968
file,nv-b_100740,TAIL,ARROW,FALSE,FALSE,pd;nl,0.00199600798403194
file,nv-b_102939,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
file,nv-b_103864,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
file,nv-b_104180,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
file,nv-churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
file,nv-code_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
file,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
file,nv-mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
file,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
file,nv-silence,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
file,nv-silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00998003992015968
file,nv-start,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0459081836327345
file,nv-thread,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
file,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
mail_dev2,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0259481037924152
mail_dev2,nv-mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mail_dev2,nv-mail_dev2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mail_dev2,nv-thread,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mail_dev,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mail_dev,nv-code_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mail_dev,nv-mail_dev2,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
mail_dev,nv-churn,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
file2,nv-churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
file2,nv-silence,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0598802395209581
commit2,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
commit2,nv-file2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
commit2,nv-mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
commit2,nv-b_104180,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
code_dev,nv-start,TAIL,ARROW,FALSE,FALSE,pd;pl,0.00199600798403194
code_dev,nv-silence2,TAIL,ARROW,FALSE,FALSE,pd;pl,0.00199600798403194
code_dev,nv-mail_dev2,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
code_dev,nv-mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00998003992015968
code_dev,nv-churn,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
code_dev,nv-b_102939,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
code_dev2,nv-b_100433,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00998003992015968
code_dev2,nv-b_100742,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
code_dev2,nv-code_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
code_dev2,nv-mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
code_dev2,nv-mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0279441117764471
code_dev2,nv-silence,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00998003992015968
code_dev2,nv-silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0758483033932136
commit,nv-churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
commit,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
commit,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
nv-b_100742,b_191549,TAIL,ARROW,FALSE,FALSE,pd;nl,0.125748502994012
nv-b_100742,nv-code_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
nv-b_100742,nv-commit,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-b_100433,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
nv-b_100433,nv-churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mis_link2,nv-thread,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
mis_link2,nv-file,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mis_link2,nv-code_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mis_link2,nv-b_100433,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
mis_link2,nv-b_100742,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00998003992015968
mis_link,nv-b_102939,TAIL,ARROW,FALSE,FALSE,pd;nl,0.00598802395209581
mis_link,nv-churn,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
mis_link,nv-file,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
mis_link,nv-mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0159680638722555
nv-b_100433,nv-file2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.137724550898204
nv-b_100433,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-b_100740,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
nv-b_100740,nv-churn2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0179640718562874
nv-b_100740,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0239520958083832
nv-b_100740,nv-b_100742,TAIL,ARROW,FALSE,FALSE,dd;nl,0.245508982035928
nv-b_100433,nv-thread2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0119760479041916
nv-b_100742,nv-mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0139720558882236
nv-b_100742,nv-start,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-b_100742,nv-thread,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-b_102939,nv-thread,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
nv-b_103864,nv-silence2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0119760479041916
nv-b_103864,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00399201596806387
nv-b_103864,commit,TAIL,ARROW,FALSE,FALSE,dd;nl,0.0479041916167665
nv-b_100742,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00798403193612774
nv-thread,nv-mail_dev,TAIL,TAIL,FALSE,FALSE,"",0.031936127744511
nv-thread2,b_104180,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-thread,b_93245,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-thread,nv-code_dev2,TAIL,TAIL,FALSE,FALSE,"",0.0119760479041916
nv-thread,b_62940,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-thread,b_191547,TAIL,TAIL,FALSE,FALSE,"",0.0119760479041916
nv-thread,b_201967,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-thread,b_180739,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-thread,b_162182,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-thread,b_162106,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-thread,b_162109,TAIL,TAIL,FALSE,FALSE,"",0.0399201596806387
nv-thread,b_160798,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-thread,b_151791,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-thread,b_150287,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-thread,b_151790,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-thread,b_150209,TAIL,TAIL,FALSE,FALSE,"",0.0399201596806387
nv-thread,b_150205,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-thread,b_143567,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-thread,b_150204,TAIL,TAIL,FALSE,FALSE,"",0.0179640718562874
nv-thread,b_143513,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-thread,b_143470,TAIL,TAIL,FALSE,FALSE,"",0.0199600798403194
nv-thread,b_140195,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-thread,b_140224,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-thread,b_136450,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-thread,b_114576,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,start,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00399201596806387
nv-start,nv-mis_link,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-start,mail_dev,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-start,b_201967,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_63738,TAIL,ARROW,FALSE,FALSE,dd;pl,0.0838323353293413
nv-start,b_180735,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-start,b_173731,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_162181,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-start,b_167053,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-start,b_162179,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_162176,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_151794,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_162106,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_151793,TAIL,TAIL,FALSE,FALSE,"",0.0199600798403194
nv-start,b_151788,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_150287,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-start,b_151787,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_150286,TAIL,TAIL,FALSE,FALSE,"",0.0179640718562874
nv-start,b_150205,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_143567,TAIL,TAIL,FALSE,FALSE,"",0.0219560878243513
nv-start,b_148275,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_143511,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_143508,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-start,b_140224,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-start,b_142970,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-start,b_140195,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-start,b_114619,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-silence2,nv-mis_link2,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
nv-start,b_100433,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-silence2,nv-mis_link,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence2,nv-mail_dev,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-silence2,mis_link2,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence2,nv-commit,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00598802395209581
nv-silence2,b_80891,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence2,b_64339,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence2,b_173733,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-silence2,b_180737,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-silence2,b_166303,TAIL,TAIL,FALSE,FALSE,"",0.0499001996007984
nv-silence2,b_160705,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence2,b_150291,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-silence2,b_151794,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence2,b_150290,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-silence2,b_143510,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-silence2,b_143470,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence2,b_143506,TAIL,TAIL,FALSE,FALSE,"",0.0439121756487026
nv-silence2,b_114619,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-silence2,b_114109,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence,nv-commit2,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence,nv-mis_link,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence,b_191547,TAIL,TAIL,FALSE,FALSE,"",0.0199600798403194
nv-silence,b_180739,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence,b_166303,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence,b_167053,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-silence,b_162181,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence,b_162179,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence,b_150290,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-silence,b_160702,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-silence,b_150287,TAIL,TAIL,FALSE,FALSE,"",0.0399201596806387
nv-silence,b_150209,TAIL,TAIL,FALSE,FALSE,"",0.0119760479041916
nv-silence,b_143572,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-silence,b_148275,TAIL,TAIL,FALSE,FALSE,"",0.0219560878243513
nv-silence,b_143570,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00598802395209581
nv-silence,b_143513,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-silence,b_140160,TAIL,TAIL,FALSE,FALSE,"",0.0139720558882236
nv-silence,b_143510,TAIL,TAIL,FALSE,FALSE,"",0.0219560878243513
nv-silence,b_114577,TAIL,TAIL,FALSE,FALSE,"",0.00598802395209581
nv-silence,b_104180,TAIL,TAIL,FALSE,FALSE,"",0.0159680638722555
nv-silence,b_100742,TAIL,ARROW,FALSE,FALSE,dd;pl,0.00199600798403194
nv-silence,b_103864,TAIL,ARROW,FALSE,FALSE,dd;nl,0.00199600798403194
nv-silence,b_100740,TAIL,TAIL,FALSE,FALSE,"",0.193612774451098
nv-mis_link2,nv-file,TAIL,TAIL,FALSE,FALSE,"",0.00798403193612774
nv-mis_link2,nv-churn,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,nv-code_dev,TAIL,TAIL,FALSE,FALSE,"",0.00199600798403194
nv-mis_link2,b_191549,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,b_180734,TAIL,TAIL,FALSE,FALSE,"",0.00399201596806387
nv-mis_link2,b_173733,TAIL,TAIL,FALSE,FALSE,"",0.00998003992015968
